"indicativo","nombre","provincia","altitud","latitud","longitud","mu_smooth","sigma_smooth","xi_smooth","rl20_mean","rl20_sd","rl50_mean","rl50_sd","rl100_mean","rl100_sd"
"5625X","LA RAMBLA","CORDOBA",200,37.6386111111111,-4.76388888888889,41.1463095430871,12.1432732145217,0.0938803436130929,82.9102497159641,4.81674331260258,98.5866639755839,6.00947030324729,111.26868143133,7.00395401396814
"5641X","<U+00C9>CIJA","SEVILLA",130,37.5161111111111,-5.085,38.5789412092658,11.6741310609303,0.0942932660982814,78.756536839227,4.64459896451702,93.8528976590766,5.85662674612019,106.070560028389,6.87423466887392
"5654X","LA PUEBLA DE LOS INFANTES","SEVILLA",200,37.7866666666667,-5.37111111111111,56.9969517612962,16.9547562353865,0.0938986699422175,115.323687923486,6.92881795740733,137.218559132131,8.6610749949307,154.93228386339,10.1094278862976
"5656","FUENTES DE ANDALUC<U+00CD>A","SEVILLA",165,37.4972222222222,-5.43305555555556,43.7770934074999,12.674984772636,0.0940198857926959,87.3714566996249,4.93141525728195,103.739513394452,6.142994120968,116.982458720225,7.15395734381967
"5702X","CARMONA","SEVILLA",50,37.5655555555556,-5.74055555555556,42.5999171617544,12.4269172453536,0.0939722354527996,85.3629526178936,5.23384887627507,101.414460079473,6.50054660253908,114.400981401593,7.55451273477335
"5704B","CAZALLA DE LA SIERRA","SEVILLA",550,37.9263888888889,-5.76972222222222,58.368870316758,18.1665756943938,0.0943113763392879,120.898058244013,7.26342445221617,144.391284565319,9.14764436276263,163.403652651332,10.7115012530933
"5726X","GUADALCANAL","SEVILLA",720,38.0994444444444,-5.81916666666667,44.9507444825752,13.6481977466443,0.0943060254553826,91.9967760737262,6.36177397572582,109.667093242321,8.00099524884815,123.967387030105,9.35796651671271
"5733X","ALMAD<U+00C9>N DE LA PLATA","SEVILLA",450,37.7911111111111,-6.075,56.5836298990794,17.1397319474132,0.0941786865225508,115.603302399394,7.3984677294453,137.768427327733,9.28666046338954,155.704524342145,10.857124931857
"5769X","CALA","HUELVA",618,37.9736111111111,-6.32222222222222,52.5592818801199,14.8541959886652,0.094405302893193,103.720692431977,6.33623808967566,122.946471449451,7.99166981301187,138.507024315072,9.36917889944855
"5783","SEVILLA AEROPUERTO","SEVILLA",34,37.4166666666667,-5.87916666666667,47.2494542226184,13.7388905541406,0.0943896277932388,94.4288439795182,3.41024512650579,112.167664103756,4.33905168953083,126.524050008483,5.13318989497214
"5788X","TOMARES, ZAUD<U+00CD>N","SEVILLA",84,37.3616666666667,-6.05972222222222,43.5806658186601,12.9850267220777,0.0937984289264122,88.3889983788115,7.38316096925083,105.176819066839,8.99669054120933,118.757197465397,10.329931080354
"5790Y","SEVILLA, TABLADA","SEVILLA",9,37.3641666666667,-6.00583333333333,42.0924402920125,12.2514699390543,0.0936351667624518,84.1902942783557,4.56340813887744,99.9867830917088,5.6750057116122,112.764030856121,6.61356614697274
"5796","MOR<U+00D3>N DE LA FRONTERA","SEVILLA",87,37.1644444444444,-5.61138888888889,45.2329741947681,13.1460546040362,0.0941877161264331,90.3805500488169,3.63341452878243,107.349108128345,4.64250166657754,121.080230602299,5.50089992797923
"5835X","CARRI<U+00D3>N DE LOS C<U+00C9>SPEDES","SEVILLA",76,37.36,-6.33416666666667,47.6163230073938,14.5165852804779,0.0943057374300434,97.6124461317512,6.31921298592842,116.390194023719,7.86850322500429,131.586811632152,9.15731583599795
"5858X","ALMONTE","HUELVA",5,36.9886111111111,-6.44305555555556,38.538795853292,11.5975443014885,0.0944384953498664,78.4431314881588,4.34139925008178,93.4389623085843,5.41923976389463,105.576129433851,6.32300728585088
"5860E","MOGUER, EL ARENOSILLO","HUELVA",41,37.0980555555556,-6.73805555555556,38.1484613341067,12.2297527303476,0.0940208447230686,80.2088227482161,4.63426905960792,96.0048156586045,5.85381276208024,108.785219783731,6.87041812447518
